Loan Amount: $1000
Interest	Duration	Monthly	Total
Rate		(Years)		Payment	Payment
10.0%		20		54.49	1089.8
10.0%		25		44.48	1111.93
10.0%		30		37.81	1134.34
10.25%		20		54.61	1092.1
10.25%		25		44.59	1114.82
10.25%		30		37.93	1137.83
10.5%		20		54.72	1094.41
10.5%		25		44.71	1117.71
10.5%		30		38.04	1141.33
10.75%		20		54.84	1096.72
10.75%		25		44.82	1120.61
10.75%		30		38.16	1144.83
11.0%		20		54.95	1099.03
11.0%		25		44.94	1123.51
11.0%		30		38.28	1148.34
11.25%		20		55.07	1101.34
11.25%		25		45.06	1126.42
11.25%		30		38.4	1151.86
11.5%		20		55.18	1103.66
11.5%		25		45.17	1129.33
11.5%		30		38.51	1155.38
11.75%		20		55.3	1105.98
11.75%		25		45.29	1132.25
11.75%		30		38.63	1158.91
12.0%		20		55.42	1108.31
12.0%		25		45.41	1135.17
12.0%		30		38.75	1162.44
12.25%		20		55.53	1110.63
12.25%		25		45.52	1138.09
12.25%		30		38.87	1165.98
12.5%		20		55.65	1112.96
12.5%		25		45.64	1141.02
12.5%		30		38.98	1169.53
12.75%		20		55.76	1115.29
12.75%		25		45.76	1143.96
12.75%		30		39.1	1173.09
13.0%		20		55.88	1117.63
13.0%		25		45.88	1146.9
13.0%		30		39.22	1176.65
13.25%		20		56.0	1119.97
13.25%		25		45.99	1149.84
13.25%		30		39.34	1180.21
13.5%		20		56.12	1122.31
13.5%		25		46.11	1152.79
13.5%		30		39.46	1183.79
13.75%		20		56.23	1124.65
13.75%		25		46.23	1155.74
13.75%		30		39.58	1187.37
14.0%		20		56.35	1127.0
14.0%		25		46.35	1158.69
14.0%		30		39.7	1190.95
